name,date_start,date_end
Kingdom of Tambapanni ,-543,-437
Anuradhapura Kingdom ,-437,1017
Chola-occupied Anuradhapura ,1017,1055
Kingdom of Polonnaruwa ,1055,1236
Kingdom of Dambadeniya ,1220,1345
Kingdom of Gampola ,1345,1412
Kingdom of Kotte ,1412,1597
Kingdom of Sitawaka ,1521,1594
Kingdom of Kandy ,1591,1815
