dsd_id,dsd_name,min_duration
LK-1106,Kolonnawa,0.30277777777777776
LK-1103,Colombo,0.31166666666666665
LK-1109,Kaduwela,0.30694444444444446
LK-1121,Maharagama,0.2911111111111111
LK-1124,Sri Jayawardanapura Kotte,0.2513888888888889
LK-1127,Thimbirigasyaya,0.26416666666666666
LK-1130,Dehiwala,0.2127777777777778
LK-1131,Ratmalana,0.2127777777777778
LK-1136,Kesbewa,0.29944444444444446
LK-1218,Wattala,0.2836111111111111
LK-1221,Ja-Ela,0.2836111111111111
LK-1233,Mahara,0.25305555555555553
LK-1236,Kelaniya,0.30277777777777776
LK-1239,Biyagama,0.2925
LK-1112,Homagama,0.45444444444444443
LK-1133,Moratuwa,0.37333333333333335
LK-1224,Gampaha,0.25305555555555553
LK-1115,Seethawaka,0.5511111111111111
LK-1118,Padukka,0.4263888888888889
LK-1230,Dompe,0.5236111111111111
LK-1309,Horana,0.4811111111111111
LK-1303,Panadura,0.3472222222222222
LK-1306,Bandaragama,0.3472222222222222
LK-1310,Ingiriya,0.4263888888888889
LK-1318,Millaniya,0.3333333333333333
LK-9103,Eheliyagoda,0.29333333333333333
LK-9221,Ruwanwella,0.5727777777777778
LK-9230,Dehiovita,0.7711111111111111
LK-9109,Kiriella,0.29333333333333333
LK-1321,Kalutara,0.38
LK-1206,Katana,0.2563888888888889
LK-1203,Negombo,0.2563888888888889
LK-1209,Divulapitiya,0.4811111111111111
LK-1215,Minuwangoda,0.2997222222222222
LK-6245,Wennappuwa,0.2833333333333333
LK-6248,Dankotuwa,0.29138888888888886
LK-1212,Mirigama,0.4702777777777778
LK-1227,Attanagalla,0.4702777777777778
LK-6178,Pannala,0.43583333333333335
LK-6184,Alawwa,0.31555555555555553
LK-9218,Warakapola,0.46555555555555556
LK-1315,Madurawala,0.3333333333333333
LK-1327,Dodangoda,0.44222222222222224
LK-1312,Bulathsinhala,0.4897222222222222
LK-9130,Ayagama,0.6133333333333333
LK-1333,Agalawatta,0.38861111111111113
LK-1336,Palindanuwara,0.38861111111111113
LK-1330,Mathugama,0.45166666666666666
LK-1324,Beruwala,0.44222222222222224
LK-3103,Bentota,0.3552777777777778
LK-1339,Walallavita,0.4938888888888889
LK-9127,Elapatha,0.7605555555555555
LK-3106,Balapitiya,0.3552777777777778
LK-3109,Karandeniya,0.3638888888888889
LK-3112,Elpitiya,0.35888888888888887
LK-3115,Niyagama,0.35888888888888887
LK-2106,Pujapitiya,0.44333333333333336
LK-2103,Thumpane,0.2897222222222222
LK-2109,Akurana,0.3825
LK-2112,Pathadumbara,0.3883333333333333
LK-2130,Kandy Four Gravets & Gangawata Korale,0.6455555555555555
LK-2133,Harispattuwa,0.47694444444444445
LK-2134,Hatharaliyadda,0.2897222222222222
LK-2136,Yatinuwara,0.4825
LK-2139,Udunuwara,0.4825
LK-2233,Ukuwela,0.3825
LK-6157,Mallawapitiya,0.39916666666666667
LK-6160,Mawathagama,0.42083333333333334
LK-6163,Rideegama,0.6722222222222223
LK-9203,Rambukkana,0.5619444444444445
LK-9206,Mawanella,0.3463888888888889
