gnd_id	name	province_id	district_id	dsd_id	pd_id	gnd_num	lat	lng
LK-9103141	Amuhenkanda	LK-9	LK-91	LK-9103	EC-21A	146A	6.839661757575758	80.29120842424244
LK-9103143	Pathberiya	LK-9	LK-91	LK-9103	EC-21A	127	6.837128041420117	80.32670533727809
LK-9109051	Karandana South	LK-9	LK-91	LK-9109	EC-21A	143A	6.781259789772734	80.22255238068176
LK-5230105	Ninthavur 21	LK-5	LK-52	LK-5230	EC-13C	37F	7.342155647058824	81.84905317647059
LK-8230020	Hambegamuwa	LK-8	LK-82	LK-8230	EC-20C	149	6.509680958092493	80.91607157803459
LK-5124040	Kattankudy Division 3	LK-5	LK-51	LK-5124	EC-12C	165	7.6807587999999996	81.7267348
LK-5218070	Sammanthurai 10	LK-5	LK-52	LK-5218	EC-13B	92B	7.368287176470589	81.79906899999997
LK-7203010	Galoya	LK-7	LK-72	LK-7203	EC-18A	32	8.143617895569642	80.83272852848103
LK-4206075	Vidathaltheevu West	LK-4	LK-42	LK-4206	EC-11A	10	9.011310280653944	80.04208980653951
LK-2224170	Etanwala	LK-2	LK-22	LK-2224	EC-05B	E386	7.4765900197802155	80.77135832967024
LK-2224125	Rawanagama	LK-2	LK-22	LK-2224	EC-05B	E397A	7.542618315789475	80.86516678947366
LK-5233030	Oluvil 03	LK-5	LK-52	LK-5233	EC-13D	AD/35C	7.287646125000001	81.8614117916667
LK-5239055	Akkaraipattu 7/3	LK-5	LK-52	LK-5239	EC-13D	AV/07	7.212497055555556	81.84097055555556
LK-5215020	Gemunupura	LK-5	LK-52	LK-5215	EC-13A	W/89G	7.3019968666666655	81.66332086666665
LK-5233010	Oluvil 01	LK-5	LK-52	LK-5233	EC-13D	AD/35	7.288221449404771	81.8153153690476
LK-5130015	Munaikkadu East	LK-5	LK-51	LK-5130	EC-12C	133	7.626568166666668	81.70721788888892
LK-5242155	Wadinagala	LK-5	LK-52	LK-5242	EC-13D	W/26	7.11457280130292	81.5639116824104
LK-5203020	Kadirapura	LK-5	LK-52	LK-5203	EC-13A	142N	7.664412410163334	81.09672489292184
LK-5203025	Mawanagama	LK-5	LK-52	LK-5203	EC-13A	142I	7.636848563510394	81.06636430715935
LK-5203050	Paranagama	LK-5	LK-52	LK-5203	EC-13A	142C	7.566188076062621	81.06360875615212
LK-5203005	Rideela	LK-5	LK-52	LK-5203	EC-13A	142L	7.696013362110292	81.02730471462833
LK-5203045	Sandunpura	LK-5	LK-52	LK-5203	EC-13A	142E	7.595392315555551	81.09072439777785
LK-5203065	Wewmedagama	LK-5	LK-52	LK-5203	EC-13A	142A	7.534594983263595	81.04016899372388
