ds	country	polygon_source	polygon_id	polygon_name	all_day_bing_tiles_visited_relative_change	all_day_ratio_single_tile_users	baseline_name	baseline_type
2020-03-01	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.03576	0.14831	full_february	DAY_OF_WEEK
2020-03-02	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.01288	0.12947	full_february	DAY_OF_WEEK
2020-03-03	LKA	GADM	LKA.1.16_1	Sainthamarathu	0.03811	0.13714	full_february	DAY_OF_WEEK
2020-03-04	LKA	GADM	LKA.1.16_1	Sainthamarathu	0.04345	0.15413	full_february	DAY_OF_WEEK
2020-03-05	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.0037	0.14542	full_february	DAY_OF_WEEK
2020-03-06	LKA	GADM	LKA.1.16_1	Sainthamarathu	0.08962	0.11713	full_february	DAY_OF_WEEK
2020-03-07	LKA	GADM	LKA.1.16_1	Sainthamarathu	0.02732	0.15625	full_february	DAY_OF_WEEK
2020-03-08	LKA	GADM	LKA.1.16_1	Sainthamarathu	0.07364	0.15546	full_february	DAY_OF_WEEK
2020-03-09	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.02474	0.14181	full_february	DAY_OF_WEEK
2020-03-10	LKA	GADM	LKA.1.16_1	Sainthamarathu	0.0766	0.14147	full_february	DAY_OF_WEEK
2020-03-11	LKA	GADM	LKA.1.16_1	Sainthamarathu	0.00102	0.13514	full_february	DAY_OF_WEEK
2020-03-12	LKA	GADM	LKA.1.16_1	Sainthamarathu	0.06557	0.15326	full_february	DAY_OF_WEEK
2020-03-13	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.00495	0.15708	full_february	DAY_OF_WEEK
2020-03-14	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.04868	0.16037	full_february	DAY_OF_WEEK
2020-03-15	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.10604	0.16814	full_february	DAY_OF_WEEK
2020-03-16	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.24124	0.1866	full_february	DAY_OF_WEEK
2020-03-17	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.12371	0.17846	full_february	DAY_OF_WEEK
2020-03-18	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.24765	0.18835	full_february	DAY_OF_WEEK
2020-03-19	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.24445	0.21524	full_february	DAY_OF_WEEK
2020-03-20	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.24923	0.20619	full_february	DAY_OF_WEEK
2020-03-21	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.67279	0.43153	full_february	DAY_OF_WEEK
2020-03-22	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.67426	0.46149	full_february	DAY_OF_WEEK
2020-03-23	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.33804	0.24003	full_february	DAY_OF_WEEK
2020-03-24	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.68836	0.42706	full_february	DAY_OF_WEEK
2020-03-25	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.64841	0.40932	full_february	DAY_OF_WEEK
2020-03-26	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.27514	0.20409	full_february	DAY_OF_WEEK
2020-03-27	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.67386	0.4567	full_february	DAY_OF_WEEK
2020-03-28	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.68435	0.45973	full_february	DAY_OF_WEEK
2020-03-29	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.66912	0.48161	full_february	DAY_OF_WEEK
2020-03-30	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.31689	0.21142	full_february	DAY_OF_WEEK
2020-03-31	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.66326	0.44644	full_february	DAY_OF_WEEK
2020-04-01	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.33742	0.21518	full_february	DAY_OF_WEEK
2020-04-02	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.67728	0.4754	full_february	DAY_OF_WEEK
2020-04-03	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.67622	0.48173	full_february	DAY_OF_WEEK
2020-04-04	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.67445	0.46558	full_february	DAY_OF_WEEK
2020-04-05	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.63804	0.46858	full_february	DAY_OF_WEEK
2020-04-06	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.29199	0.20797	full_february	DAY_OF_WEEK
2020-04-07	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.66817	0.44944	full_february	DAY_OF_WEEK
2020-04-08	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.631	0.40478	full_february	DAY_OF_WEEK
2020-04-09	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.31802	0.21697	full_february	DAY_OF_WEEK
2020-04-10	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.67719	0.44344	full_february	DAY_OF_WEEK
2020-04-11	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.66445	0.44352	full_february	DAY_OF_WEEK
2020-04-12	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.63007	0.41996	full_february	DAY_OF_WEEK
2020-04-13	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.66565	0.42318	full_february	DAY_OF_WEEK
2020-04-14	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.69725	0.452	full_february	DAY_OF_WEEK
2020-04-15	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.68149	0.43752	full_february	DAY_OF_WEEK
2020-04-16	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.32606	0.18591	full_february	DAY_OF_WEEK
2020-04-17	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.65198	0.40879	full_february	DAY_OF_WEEK
2020-04-18	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.64479	0.40368	full_february	DAY_OF_WEEK
2020-04-19	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.61357	0.40861	full_february	DAY_OF_WEEK
2020-04-20	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.26664	0.18833	full_february	DAY_OF_WEEK
2020-04-21	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.30994	0.20639	full_february	DAY_OF_WEEK
2020-04-22	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.31662	0.2282	full_february	DAY_OF_WEEK
2020-04-23	LKA	GADM	LKA.1.16_1	Sainthamarathu	-0.30473	0.19815	full_february	DAY_OF_WEEK
