name,lat,lng
1 Park Road (Colombo),6.885099,79.867151
1 Union (Colombo),6.922853,79.852688
1 Wijerama Mw (Colombo),6.915972,79.869223
100 High Level (Colombo),6.878296,79.876165
130 Wijerama Mw (Colombo),6.906296,79.87323
340 Park Road (Colombo),6.889094,79.876679
360 Papiliyana,6.856587,79.890299
443 Maradana Rd,6.92712,79.865615
6.971_ 79.885,6.97097,79.885069
62 Horton Pl (Colombo),6.911463,79.870675
9.091_ 80.898,9.091035,80.897985
96 Kanatta,6.911249,79.877395
Agalawatte,6.542319,80.157564
Akkaraipattu,7.219392,81.849758
Akuressa,6.100274,80.475794
Alawwa,7.295461,80.23663
Alexandra Roundabout (Colombo),6.91151,79.864521
Aluthgama,6.434137,80.000525
Ambalangoda,6.244152,80.059293
Ambatale Junction,6.943061,79.923724
Ambepussa,7.241662,80.211435
Ampara,7.301859,81.675129
Anamaduwa,7.877793,80.011069
Andara Wewa (Anuradhapura),8.457505,80.302859
Andaulpotha,7.25835,81.080468
Angoda,6.936624,79.926913
Anguruwatota,6.644814,80.074438
Anuradhapura,8.311388,80.403615
Ape Gama,6.890819199999999,79.9222234
Aralaganwila,7.768283,81.174668
Araly,9.706271,79.955671
Aranayake,7.149607,80.464736
Arcade,6.9027394,79.8688116
Asokaramaya Temple,6.891112799999999,79.86450959999999
Athurugiriya Interchange,6.883402,79.976532
Attidiya Bird Sanctuary,6.8370138,79.8906674
Avissawella,6.954332,80.204574
BMICH,6.9016892,79.87337459999999
Badalkumbura,6.895599,81.236358
Baddegama Exit,6.168828,80.179383
Badulla,6.993304,81.05438
Balaluwewa,7.978305,80.524371
Balangoda,6.662745,80.710219
Ballapitiya,6.694072,80.073242
Bambalapitiya,6.900928,79.8549
Bandaragama,6.714408,79.989064
Bandarawela,6.825781,80.997992
Barefoot,6.8966667,79.8541667
Battaramulla,6.897994,79.922281
Batticaloa,7.730785,81.675297
Beddagana Park,6.891499100000001,79.9090871
Beliatta,6.048385,80.733982
Bellana,6.521736,80.173145
Bellanthota Junction,6.848347,79.88543
Bellanwila Temple,6.845646599999999,79.89004109999999
Beragala,6.763628,80.918293
Bibile,7.163683,81.220933
Blackpool (Nuwara Eliya),6.94243,80.778988
Bodagama,6.427939,81.097395
Bogahawewa (Padaviya_ Anuradhapura),8.870073,80.861974
Bogowantalawa,6.797172,80.675835
Bope (Colombo),6.824829,80.138133
Boralanda,6.827989,80.894317
Boralesgamuwa,6.841169,79.902478
Borella Tunnel,6.914818,79.877558
Bulathkohupitiya,7.104607,80.335778
Buttala,6.7596,81.249179
Campion Estate (Nuwara Eliya),6.781915,80.697426
Chenkalady,7.785981,81.589894
Chilaw,7.562131,79.801598
Cinnamon Grand,6.917879,79.848477
Colombo Fort,6.936521,79.845071
Colombo University,6.9000149,79.8587938
Cotta Park (Colombo),6.910488,79.887253
Dalukkane,7.884103,81.139097
Damana (Ampara),7.201567,81.656884
Dambulla,7.874269,80.651008
Dampelessa,7.410134,80.207792
Dankotuwa,7.297507,79.882225
Dehiattakandiya,7.671178,81.046441
Dehiowita,6.963873,80.264154
Dehiwala Junction,6.850429,79.866067
Dehiwala Zoo,6.8569811,79.87440250000002
Deltota,7.172697,80.701573
Dematagoda,6.935256,79.880772
Deniyaya,6.341789,80.559924
Depdene,6.459468,80.558178
Deraniyagala,6.934364,80.336965
Dick Oya,6.874941,80.602839
Dimbulagala,7.861036,81.105262
Divulapitiya,7.23076,80.016378
Diyatha Uyana,6.904574999999999,79.9098313
Dodangoda Interchage (E01),6.542265,80.043288
Dolosbage,7.087755,80.464355
Dutch Hospital,6.9335201,79.8435129
Ekala,7.102323,79.908715
Elahera,7.734723,80.793093
Ella (Badulla),6.867786,81.046846
Elpitiya,6.288058,80.159526
Eluwankulama,8.273178,79.879795
Embilipitiya,6.316768,80.843691
Etulkotte,6.891447,79.905211
Galewela,7.756886,80.577177
Galgamuwa,7.988451,80.290261
Galkulama,8.273512,80.500225
Galle Face,6.928577499999999,79.84508
Galle Face Hotel,6.9204959,79.8459888
Galle Town,6.053655,80.221218
Gampola,7.126632,80.56505
Gamsabha Junction,6.864623,79.897634
Gangarama Temple,6.9167079,79.8567223
Gangodawila,6.869029,79.890334
Gelanigama,6.719715,80.001182
Geoffrey Bawas Home,6.9013972,79.8578806
Ginigathena,6.989354,80.492653
Ginigathhena,6.989278,80.492675
Giritale,7.988167,80.922364
Giriulla,7.331328,80.122759
Godagama (Colombo),6.851664,80.032703
Godagama (Matara),5.971427,80.518267
Gothami Temple,6.914568699999999,79.8871346
Gothatuwa New Town,6.924773,79.915139
Habarana,8.032579,80.751138
Hakmana,6.079693,80.657717
Hali-ela,6.95669,81.033982
Halloluwa,7.301365,80.592927
Hambantota,6.142886,81.121279
Hambegamuwa,6.535634,80.982364
Hanwella,6.896907,80.081622
Hasalaka,7.354556,80.952348
Hatton (Nuwara Eliya),6.900119,80.596199
Havelock Bo Tree (Colombo),6.881806,79.869856
Hettipola,7.533107,80.913399
Hikkaduwa,6.139469,80.106303
Hokandara,6.874443,79.969564
Horana,6.721941,80.064814
Horawela,6.480908,80.128886
Horewala Buddhist Temple,7.141957,80.468461
Horowupotana,8.559774,80.833765
Horton Plains,6.802096,80.807413
Hyde Park Corner (Colombo),6.917336,79.860073
Imaduwa,6.037539,80.390664
Independence Square,6.9035383,79.8681098
Inginiyagala,7.213476,81.54338
Ingiriya,6.740505,80.162414
Ja-Ela,7.074357,79.913138
Ja-Ela Interchage,7.081598,79.877756
Jaffna,9.661592,80.025409
Jami Ul-Alfar Mosque,6.938504399999999,79.85159399999999
Jana Kala Kendraya,6.890177700000001,79.9217188
Kadawatha,7.001424,79.949884
Kaduwela,6.930978,79.984181
Kaduwela Interchange,6.936085,79.971597
Kahathuduwa,6.781929,79.994467
Kailawasanathan Temple,6.9305618,79.8572014
Kalawana,6.531556,80.39677
Kalawellawa,6.628521,80.159746
Kalawewa,8.011791,80.537407
Kalmunai,7.414343,81.830646
Kaltota,6.658989,80.867821
Kalupahana Junction,6.766042,80.849966
Kalutara,6.585408,79.960636
Kamburupitiya,6.078307,80.563943
Kanatta Junction,6.908618,79.877092
Kandalama (Gampaha),7.272625,80.136329
Kandehandiya,7.213536,80.755094
Kandy Town,7.290186,80.633843
Kankesanturai,9.815402,80.044534
Kantale,8.351676,81.007246
Karainagar,9.748132,79.882642
Karaitivu,7.377093,81.841679
Karametiya (Badulla),7.191174,81.030061
Karawanella,7.023601,80.26147
Kataragama,6.413528,81.332549
Katugastota,7.335964,80.621332
Katukurunda,6.549413,79.983405
Katunayake,7.172365,79.885512
Katuwana,6.264121,80.690639
Kayts,9.653109,79.907629
Kebitigollewa,8.642737,80.671211
Keenadeniya Junction,7.253562,80.172431
Keenadeniya Junction Bus Stop,7.253562,80.172431
