gics_type,company_name,symbol,
Energy,LANKA IOC PLC,LIOC.N0000,
Energy,LAUGFS GAS PLC,LGL.X0000,
Energy,LAUGFS GAS PLC,LGL.N0000,
Materials,CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,
Materials,CIC HOLDINGS PLC,CIC.X0000,
Materials,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,
Materials,CHEMANEX PLC,CHMX.N0000,
Materials,PIRAMAL GLASS CEYLON PLC,GLAS.N0000,
Materials,ALUMEX PLC,ALUM.N0000,
Materials,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,
Materials,SWISSTEK (CEYLON) PLC,PARQ.N0000,
Materials,ACME PRINTING & PACKAGING PLC,ACME.N0000,
Materials,SAMSON INTERNATIONAL PLC,SIL.N0000,
Materials,HAYCARB PLC,HAYC.N0000,
Materials,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,
Materials,AGSTAR PLC,AGST.N0000,
Materials,CIC HOLDINGS PLC,CIC.N0000,
Materials,DIPPED PRODUCTS PLC,DIPD.N0000,
Materials,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,
Materials,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,
Materials,RICHARD PIERIS EXPORTS PLC,REXP.N0000,
Materials,ACL PLASTICS PLC,APLA.N0000,
Materials,UNION CHEMICALS LANKA PLC,UCAR.N0000,
Materials,AGSTAR PLC,AGST.X0000,
Materials,ADAM CAPITAL PLC,PCHH.N0000,
Materials,LANKA CEMENT PLC,LCEM.N0000,
Capital Goods,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,
Capital Goods,SOFTLOGIC HOLDINGS PLC,SHL.N0000,
Capital Goods,SIERRA CABLES PLC,SIRA.N0000,
Capital Goods,LANKA WALLTILES PLC,LWL.N0000,
Capital Goods,ACCESS ENGINEERING PLC,AEL.N0000,
Capital Goods,MACKWOODS ENERGY PLC,MEL.N0000,
Capital Goods,CENTRAL INDUSTRIES PLC,CIND.N0000,
Capital Goods,COLOMBO DOCKYARD PLC,DOCK.N0000,
Capital Goods,THE COLOMBO FORT LAND & BUILDING PLC,CFLB.N0000,
Capital Goods,LANKA TILES PLC,TILE.N0000,
Capital Goods,ACL CABLES PLC,ACL.N0000,
Capital Goods,ROYAL CERAMICS LANKA PLC,RCL.N0000,
Capital Goods,SERENDIB ENGINEERING GROUP PLC,IDL.N0000,
Capital Goods,HEMAS HOLDINGS PLC,HHL.N0000,
Capital Goods,RENUKA HOLDINGS PLC,RHL.N0000,
Capital Goods,LANKEM CEYLON PLC,LCEY.N0000,
Capital Goods,JOHN KEELLS HOLDINGS PLC,JKH.N0000,
Capital Goods,HAYLEYS PLC,HAYL.N0000,
Capital Goods,VALLIBEL ONE PLC,VONE.N0000,
Capital Goods,AITKEN SPENCE PLC,SPEN.N0000,
Capital Goods,RENUKA HOLDINGS PLC,RHL.X0000,
