gnd_id,gnd_name,min_duration
LK-5112175,Kithulwewa,2.085
LK-7139005,Kukulkatuwa,1.828888889
LK-5110015,Muruthanai,1.531388889
LK-7203005,Sinhagama,1.496388889
LK-4412005,Ampakamam,1.428333333
LK-3315010,Barawakumbuka,1.185277778
LK-9115065,Kumburutheniwela,0.875555556
LK-5103035,Kaddumurivu,0.808888889
LK-5212065,Bandaradoowa,0.801944444
LK-8224145,Rahathangama,0.796666667
LK-7210005,Sinhapura,0.743611111
LK-2312310,Pattipola,0.722777778
LK-6206015,Parana Eluwankulama,0.606666667
LK-2303250,Palagolla,0.595555556
LK-8118025,Madugasthalawa North,0.591944444
LK-4209080,Periyamurippu,0.585555556
LK-8230025,Hambegamuwa Colony,0.578888889
LK-8142005,Weerakongama,0.566388889
LK-2303460,Queensberry,0.565
LK-2303370,Pundaluoya North,0.546666667
LK-2157145,Hydree,0.536944444
LK-5321035,Sooriyapura,0.520555556
LK-8230005,Kandiyapitawewa,0.519722222
LK-8227005,Sella Katharagama,0.519444444
LK-8103100,Dambana,0.507222222
LK-2315275,Moca,0.504444444
LK-7206025,Palliyagodella,0.504444444
LK-9133165,Ilumbakanda,0.502777778
LK-2312270,Balmoral,0.500833333
LK-2315270,Moray,0.500555556
LK-6127225,Kosgaha Ela,0.499722222
LK-8209170,Amunekandura,0.499722222
LK-2121190,Lunumadalaketiya,0.499444444
LK-7157010,Maha Rambawewa,0.498888889
LK-6133010,Weragala,0.498611111
LK-6133070,Nelawa,0.498611111
LK-6133155,Nelumpathgama,0.498611111
LK-6133050,Aluthgama,0.498611111
LK-6133080,Neeraviya,0.498611111
LK-6133150,Hidawewa,0.498611111
LK-6133185,Makulwewa,0.498611111
LK-6133130,Arankele,0.498611111
LK-6133105,Boraluwa,0.498611111
LK-6133005,Digankonwewa,0.498611111
LK-6133025,Divulwewa,0.498611111
LK-6133095,Kumbukgete,0.498611111
LK-6133100,Hettigama,0.498611111
LK-6133145,Hiripitiya,0.498611111
LK-6133175,Hunupola,0.498611111
LK-6133120,Jahapagama,0.498611111
LK-6133045,Kalatuwagama,0.498611111
LK-6133125,Neriyawa,0.498611111
LK-6133205,Kanawa,0.498611111
LK-6133020,Kekulawala,0.498611111
LK-6133195,Kirindiwelmada / Galagedara,0.498611111
LK-6133035,Kuda Uyangalla,0.498611111
LK-6133075,Makulmade,0.498611111
LK-6133160,Malagamuwa,0.498611111
LK-6133170,Moragolla,0.498611111
LK-6133140,Nikadalupotha,0.498611111
LK-6133110,Nikagolla,0.498611111
LK-6133165,Othuwela,0.498611111
LK-6133065,Pannawa,0.498611111
LK-6133210,Pothuvila,0.498611111
LK-6133030,Pothuwagonna,0.498611111
LK-6133090,Santhanagama,0.498611111
LK-6133200,Seeradunna,0.498611111
LK-6133055,Seerangoda,0.498611111
LK-6133060,Thambagalla,0.498611111
LK-6133190,Thanthirigama,0.498611111
LK-6133015,Thimbiriwewa,0.498611111
LK-6133135,Thittawelgala,0.498611111
LK-6133115,Thittawella,0.498611111
LK-6133040,Uyangalla,0.498611111
LK-6133085,Waduwawa,0.498611111
LK-6133180,Wegolla,0.498611111
LK-2145215,Pathamailapitiya South,0.498333333
LK-8218160,Ettalamulla,0.498333333
LK-2303330,Rawanagoda East,0.498055556
LK-7212070,Pahala Yakkure,0.497222222
LK-4403060,Puthuvedduvan,0.496111111
LK-9227065,Amanawala,0.496111111
LK-6206075,Samagipura,0.495833333
LK-8130285,Ohiya,0.495833333
LK-8224080,Konketiya,0.495833333
LK-2306655,Malsara Nuwara,0.495555556
LK-5318010,Palampeddaru,0.495555556
LK-8212130,Madugama,0.495277778
LK-2303110,Mawela West,0.494166667
LK-3312050,Bellagaswewa,0.494166667
LK-3203105,Derangala,0.494166667
LK-1339295,Walallavita South,0.493888889
LK-1339275,Weerakanda,0.493888889
LK-1339225,Gammana West,0.493888889
LK-1339065,Bogodakanda,0.493888889
