ed_id,seats_96,electors_2020,seats_99,total_seats
EC-01,2,"1,709,209",17,19
EC-02,1,"1,785,964",17,18
EC-03,1,"972,319",9,10
EC-04,1,"1,129,100",11,12
EC-05,1,"409,808",4,5
EC-06,2,"577,717",6,8
EC-07,1,"867,709",8,9
EC-08,1,"659,587",6,7
EC-09,2,"493,192",5,7
EC-10,1,"571,848",6,7
EC-11,3,"287,024",3,6
EC-12,1,"407,569",4,5
EC-13,2,"513,979",5,7
EC-14,1,"288,868",3,4
EC-15,2,"1,348,787",13,15
EC-16,2,"614,370",6,8
EC-17,2,"693,634",7,9
EC-18,2,"331,109",3,5
EC-19,2,"668,166",7,9
EC-20,2,"372,155",4,6
EC-21,2,"877,582",9,11
EC-22,2,"684,189",7,9
