country,population
Saudi Arabia,479391
United Arab Emirates,238601
India,158083
Canada,152590
Qatar,145256
Australia,140260
United Kingdom,132000
Lebanon,117031
Italy,109968
Kuwait,99858
Jordan,77558
France,52300
Oman,47115
United States,45159
Bahrain,44840
Switzerland,28838
Cyprus,25991
Germany,25900
South Korea,20239
Singapore,19242
Maldives,17290
New Zealand,14349
Norway,13772
Denmark,13396
Netherlands,12696
Japan,10494
Israel,7500
Sweden,7106
Thailand,7931
Malaysia,6766
China,5554
